ae_id,speaker,start_time,end_time,sentence,source,targets
TS3005d.C.argumentstructs.Daan.1,C,1511.1,1516.56,"Okay, so we don't exactly need the single  We don't need a curve. 'S possible to lose curve.",NONE,"TS3005d.D.argumentstructs.Daan.1, TS3005d.B.argumentstructs.Daan.1, TS3005d.C.argumentstructs.Daan.2, TS3005d.B.argumentstructs.Daan.3"
TS3005d.D.argumentstructs.13,D,1513.21,1514.48,But w d wha,NONE,NONE
TS3005d.B.argumentstructs.10,B,1514.8,1516.92,"No, the curve doesn't really",NONE,NONE
TS3005d.D.argumentstructs.Daan.1,D,1516.06,1517.47,Curved then it will be square.,TS3005d.C.argumentstructs.Daan.1,NONE
TS3005d.B.argumentstructs.Daan.1,B,1518.09,1522.559,"No, then it will  won't uh stand up from the table. Then it would just",TS3005d.C.argumentstructs.Daan.1,NONE
TS3005d.C.argumentstructs.Daan.2,C,1521.67,1532.8,"Okay.  Yeah, that's meant with scr uh with s curve. The curve is uh in a dimension. If you make it a flat one, s n it's no curve, you got no curves. Yeah, okay.",TS3005d.C.argumentstructs.Daan.1,TS3005d.D.argumentstructs.Daan.2
TS3005d.D.argumentstructs.Daan.2,D,1521.74,1523.72,"Was that  does that mean to it, single curve ?",TS3005d.C.argumentstructs.Daan.2,TS3005d.B.argumentstructs.Daan.2
TS3005d.B.argumentstructs.Daan.2,B,1523.78,1524.05,Yeah.,TS3005d.D.argumentstructs.Daan.2,NONE
TS3005d.D.argumentstructs.14,D,1527.44,1528.27,Okay.,NONE,NONE
TS3005d.B.argumentstructs.11,B,1528.55,1529.11,So,NONE,NONE
TS3005d.B.argumentstructs.Daan.3,B,1530.4,1531.38,We would lose this one ?,TS3005d.C.argumentstructs.Daan.1,"TS3005d.D.argumentstructs.Daan.3, TS3005d.B.argumentstructs.Daan.4"
TS3005d.D.argumentstructs.Daan.3,D,1531.41,1534.15,"Yeah, but tha that that only is one.",TS3005d.B.argumentstructs.Daan.3,TS3005d.C.argumentstructs.Daan.3
TS3005d.B.argumentstructs.Daan.4,B,1534.44,1536.04,"Yeah, we could s yeah, a bit.",TS3005d.B.argumentstructs.Daan.3,NONE
TS3005d.C.argumentstructs.Daan.3,C,1534.6,1535.03,"No, two.",TS3005d.D.argumentstructs.Daan.3,TS3005d.D.argumentstructs.Daan.4
TS3005d.D.argumentstructs.Daan.4,D,1536.44,1536.84,"No, one.",TS3005d.C.argumentstructs.Daan.3,NONE
