file_name,rate,num_solved_problems,num_options_without_answer,build_tree_depth,real_tree_depth
ES2002a - Regions,42.86%,8,0,5,2
ES2002a - Remote design wrap up,46.15%,14,0,7,4
ES2002a - Remote functionality,56.67%,31,0,15,8
ES2002b - Desired functions,52.38%,22,0,11,8
ES2002b - Target audience,51.72%,30,0,11,6
ES2002c - LCD display,58.33%,13,0,8,6
ES2002c - Light option,70.00%,21,0,10,11
ES2002c - Remote shape,68.18%,23,0,13,7
ES2002c - Technology,53.33%,16,0,6,4
ES2002d - Digital pens,33.33%,13,0,5,3
ES2002d - Jog dial use,55.00%,21,0,9,7
ES2002d - Leadership,76.92%,14,0,11,5
ES2002d - Remote height,43.75%,17,0,8,8
ES2002d - Remote size,80.00%,11,0,7,7
ES2002d - Remote width,66.67%,13,0,3,5
ES2002d - Teamwork,37.50%,25,0,8,6
ES2003a - Marktpositie AB,52.38%,22,0,12,9
ES2003a - User wishes,28.57%,15,0,4,5
ES2003b - Joystick use,61.90%,22,0,8,9
ES2003b - Remote purpose,55.56%,46,0,18,6
ES2003c - Manufacturer codes,66.67%,19,0,9,6
ES2003c - Remote design,45.45%,23,0,7,8
ES2003c - Three types of batteries,33.33%,16,0,5,5
ES2003c - USB functionality,39.13%,24,0,10,11
ES2003d - Fashion score,60.00%,41,0,16,14
ES2003d - Innovation score,41.67%,13,0,6,4
ES2003d - Lost remote score,59.09%,23,0,10,5
ES2003d - Remote cost,52.29%,110,0,15,6
ES2004a - Older generation,63.16%,20,0,7,5
ES2004b - Batteries,64.29%,15,0,6,8
ES2004b - Combined remote,44.44%,19,0,10,7
ES2004b - Remote design,64.71%,18,0,5,3
ES2004b - Target audience,40.00%,6,0,4,2
ES2004b - Touch screen,40.00%,11,0,4,3
ES2004b - Video plus,50.00%,19,0,7,5
ES2004c - Battery options,61.76%,35,0,14,7
ES2004c - Different fasciae,38.46%,14,0,4,4
ES2004d - Rubber remote,57.14%,22,0,12,9
ES2005b - Lost remote,55.56%,19,0,9,5
ES2005c - LCD screen,47.62%,22,0,10,6
ES2005c - Rechargeable,42.50%,41,0,16,6
ES2005c - Remote casing,40.00%,16,0,8,4
ES2005c - Remote casings,50.00%,23,0,12,7
ES2005c - Remote color,21.43%,15,0,5,10
ES2005d - Trend score,50.00%,13,0,7,4
ES2006a - Remote first ideas,47.62%,22,0,11,6
ES2006b - Target audience,40.00%,21,0,7,6
ES2006b - Voice recognition or buttons,72.73%,12,0,3,4
ES2006b - Voice recognition,47.06%,18,0,5,7
ES2006d - Flipping open,58.82%,18,0,9,9
